galaxy,predeclared_rank,required_field,source_hint,field_status,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary,field_status_after_halo_acquisition,source_value,source_reference,endpoint_scores_allowed_after_halo_acquisition
UGC11455,1,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
UGC11455,1,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,5.4,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
UGC11455,1,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,2.4,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
UGC11455,1,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
UGC11455,1,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
ESO563-G021,2,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
ESO563-G021,2,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,19.15,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
ESO563-G021,2,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,12.37,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
ESO563-G021,2,PV/envelope notes,HI velocity-field or PV/envelope-tracing source,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
ESO563-G021,2,independent replay freeze,freeze beta_cl before endpoint scoring,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
IC4202,3,lambda_spin,literature halo/spin or HIghMass-like dynamical modelling,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,,,False
IC4202,3,chi2_NFW,source-native dark-matter halo fit table,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,20.17,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
IC4202,3,chi2_ISO,same source-native halo fit table as chi2_NFW,MISSING_SOURCE_NATIVE_REVIEW_REQUIRED,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint,FILLED_FROM_LI2020_VIZIER,8.67,"Li et al. 2020, ApJS 247, 31; VizieR J/ApJS/247/31",False
