galaxy,gate_id,gate_status,evidence,endpoint_claim_allowed,claim_boundary
NGC4013,NGC4013_FULL_TIME_G1_SOURCE_STATUS,PASS_DIAGNOSTIC_SOURCE_STATUS,edge-on warp plus vertical-overlay source context,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4013,NGC4013_FULL_TIME_G2_NO_BACKWARD_CAUSAL_CLAIM,PASS_CLAIM_BOUNDARY,"trajectory/phase component, not backward 4D causality",False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,NGC5907_FULL_TIME_G1_SOURCE_STATUS,PASS_DIAGNOSTIC_SOURCE_STATUS,edge-on projection and warp/truncation context,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,NGC5907_FULL_TIME_G2_NO_BACKWARD_CAUSAL_CLAIM,PASS_CLAIM_BOUNDARY,"trajectory/phase component, not backward 4D causality",False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,NGC7331_FULL_TIME_G1_SOURCE_STATUS,PASS_DIAGNOSTIC_SOURCE_STATUS,outer warp / vertical-scale mixed readout context,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,NGC7331_FULL_TIME_G2_NO_BACKWARD_CAUSAL_CLAIM,PASS_CLAIM_BOUNDARY,"trajectory/phase component, not backward 4D causality",False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,NGC4088_FULL_TIME_G1_SOURCE_STATUS,PASS_DIAGNOSTIC_SOURCE_STATUS,strong warp/history/asymmetry plus companion context,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,NGC4088_FULL_TIME_G2_NO_BACKWARD_CAUSAL_CLAIM,PASS_CLAIM_BOUNDARY,"trajectory/phase component, not backward 4D causality",False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,NGC4183_FULL_TIME_G1_SOURCE_STATUS,PASS_DIAGNOSTIC_SOURCE_STATUS,weak projection/null-control case; phase effect expected to be small,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,NGC4183_FULL_TIME_G2_NO_BACKWARD_CAUSAL_CLAIM,PASS_CLAIM_BOUNDARY,"trajectory/phase component, not backward 4D causality",False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
