galaxy,field_id,channel,observable,value,source,source_ref,status,review_effect,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
NGC4088,N4088_S1_DISTORTED_DISK,warp_history,strongly_distorted_disk,strongly distorted disk; strong star-formation/radio context,Verheijen & Sancisi 2001 Ursa Major H I atlas,data/external/literature/2001_verheijen_sancisi_ursa_major_hi.txt:11498-11503,ACCEPTED_QUALITATIVE_SOURCE_FIELD,supports warp/history class and rejects quiet regular disk interpretation,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4088,N4088_S2_PV_ASYMMETRY,warp_history,strong_position_velocity_asymmetry,PV diagram shows strong asymmetry,Verheijen & Sancisi 2001 Ursa Major H I atlas,data/external/literature/2001_verheijen_sancisi_ursa_major_hi.txt:11502-11505,ACCEPTED_QUALITATIVE_SOURCE_FIELD,supports asymmetry/history component but not numeric q_warp amplitude,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4088,N4088_S3_ASYMMETRIC_WARP,warp_history,asymmetric_warp_side_dependence,channel maps at 618 and 899 km/s show asymmetric warp; PA changes more in southern part,Verheijen & Sancisi 2001 Ursa Major H I atlas,data/external/literature/2001_verheijen_sancisi_ursa_major_hi.txt:11503-11508,ACCEPTED_QUALITATIVE_SOURCE_FIELD,strengthens q_warp direction; numeric side-amplitude still requires measurement,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4088,N4088_S4_COMPANION_HISTORY,morphological_history,near_companion_context,NGC4085 located 10 arcmin south,Verheijen & Sancisi 2001 Ursa Major H I atlas,data/external/literature/2001_verheijen_sancisi_ursa_major_hi.txt:11508-11512,ACCEPTED_CONTEXT_SOURCE_FIELD,"supports history/context, not standalone amplitude",False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4088,N4088_B1_XW_NUMERIC,numeric_precision,warp_onset_fraction_x_w,first-pass x_w=0.2823529411764706,existing internal digitization plus H I radius,data/derived/ngc4088_source_review_gate_decisions.csv,STILL_BLOCKED_INDEPENDENT_NUMERIC_REVIEW_REQUIRED,"classification strengthened, endpoint-grade numeric precision not yet accepted",False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4013,N4013_S1_LINE_OF_SIGHT_WARP,warp_vertical_overlay,line_of_sight_warp_component,line-of-sight warp begins near 1.2 arcmin / 10 kpc and is about a quarter of the other warp component,Zschaechner & Rand 2015 H I kinematics,data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt:404-413,ACCEPTED_NUMERIC_SOURCE_FIELD,strengthens radial warp window and projection-aware morphology label,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4013,N4013_S2_WARP_ORIENTATION,observer_projection,warp_orientation_angle,total warp oriented approximately 70 degrees from the line of sight,Zschaechner & Rand 2015 H I kinematics,data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt:408-413,ACCEPTED_CAVEATED_SOURCE_FIELD,supports morphology-dependent observer/projection interpretation; near/far degeneracy caveat retained,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4013,N4013_S3_FLARE_SCALEHEIGHT,vertical_overlay,H_I_scaleheight_and_flare,1C scale height 7 arcsec/500 pc; W model 5 arcsec/350 pc; WF final central scale height 3 arcsec/210 pc,Zschaechner & Rand 2015 H I kinematics,data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt:390-430,ACCEPTED_NUMERIC_MODEL_SOURCE_FIELD,strengthens vertical-overlay and flare channel; model-resolution caveat retained,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4013,N4013_S4_LAG_PROFILE,vertical_overlay,radially_shallowing_vertical_lag,lag shallows from -35 km/s/kpc at 1.4 arcmin / 5.8 kpc to zero near R25 / 11.2 kpc,Zschaechner & Rand 2015 H I kinematics,data/external/literature/ngc4013_zschaechner_rand_2015_hi_kinematics.txt:13-22,ACCEPTED_NUMERIC_SOURCE_FIELD,upgrades lag profile from context-only to source-numeric kernel support,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
NGC4013,N4013_S5_EXTENDED_COMPONENT,vertical_mass_overlay,extended_component_mass_and_scaleheight,extra flattened component z_EC about 3 kpc; about 20-26 percent of disk mass,Comeron et al. 2011 Spitzer vertical decomposition,data/external/literature/ngc4013_comeron_2011_unusual_vertical_mass_distribution.txt:180-192;392-403,ACCEPTED_NUMERIC_SOURCE_FIELD,cross-checks vertical overlay normalization and rejects pure thin+thick-only morphology,False,False,ngc4088_ngc4013_strengthened_source_review_not_endpoint
